GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
 219  چانگان / CS 35 (مونتاژ) / اتوماتیک                                   30    2,489,500,000     0.0700     2.4324
 220  میتسوبیشی / ASX / 2.0 لیتر تیپ 4                                     31    5,806,451,613     0.1184     2.4321
 221  بسترن / B30 / اتوماتیک                                               31    2,416,451,613     0.1204     2.4313
 222  ام وی ام / 315هاچ بک / ساده                                          31      976,451,613     0.1261     2.4290
 223  سیتروئن / زانتیا / 2.0 لیتر SX                                       36    1,098,611,111     0.3661     2.4201
 224  ام وی ام / X77 / الیت                                                30    5,453,180,000     0.1084     2.4171
 225  زامیاد / وانت نیسان / بنزین                                          31    1,740,451,613     0.1619     2.4147
 226  رنو / کپچر / اتوماتیک                                                29    3,532,413,793     0.0678     2.4136
 227  هیوندای / i20 (مونتاژ) / اتوماتیک                                    29    3,856,896,552     0.0795     2.4089
 228  وویا / فری / 1.5 لیتر توربو                                          29   13,445,862,069     0.0888     2.4052
 229  پژو / 206 / تیپ 3                                                    30      772,733,333     0.1404     2.4042
 230  فیدلیتی / الیت / تیپ 1 پنج نفره                                      29    5,324,620,690     0.1248     2.3908
 231  هیوندای / i20 / اتوماتیک                                             29    3,211,379,310     0.1261     2.3903
 232  ساینا / S / دنده ای دوگانه سوز                                       27    1,149,629,630     0.0527     2.3782
 233  تویوتا / کمری / GLX                                                  31    5,135,483,871     0.2831     2.3662
 234  رنو / تندر 90 / E1                                                   28    1,005,892,857     0.1357     2.3661
 235  تویوتا / پریوس / تیپ C                                               27    5,307,777,778     0.0845     2.3655
 236  کیا / سورنتو / 4 سیلندر ساده                                         27    8,318,888,889     0.0925     2.3623
 237  برلیانس / H330 / 1.5 اتوماتیک                                        27    1,785,925,926     0.0996     2.3595
 238  پژو / پارس / ELX-TU5                                                 27    1,916,481,481     0.1070     2.3565
 239  ب ام و / سری 5 سدان / 530i                                           29   22,483,793,103     0.2379     2.3455
 240  سیتروئن / C3 (مونتاژ) / اتوماتیک                                     26    4,473,076,923     0.0911     2.3411
 241  هیوندای / توسان L / 1.5 لیتر توربو                                   25    9,706,000,000     0.0385     2.3395
 242  لکسوس / NX / 200 توربو  fsport                                       26   15,201,153,846     0.0977     2.3384
 243  هایما / 7X / 1.6 لیتر توربو                                          27    4,356,074,074     0.1585     2.3359
 244  هونگچی / H5 / 2.0 لیتر توربو                                         28    8,303,414,286     0.2189     2.3328
 245  نیسان / ایکس تریل / اتوماتیک                                         29    8,982,413,793     0.2723     2.3318
 246  فونیکس / تیگو 7 پرو هیبرید (F7 PRO PHEV) / e پلاس                    25    6,678,520,000     0.0588     2.3313
 247  تویوتا / راوفور / 2.0 لیتر دو دیفرانسیل                              25   12,642,800,000     0.0610     2.3304
 248  برلیانس / H330 / 1.65 اتوماتیک                                       25    2,296,200,000     0.0629     2.3297
 249  رانا / پلاس پانوراما / دنده ای                                       25    1,610,800,000     0.0640     2.3293
